date,ticker,signal,confidence,regime,actual_5day_return,was_correct,atr_value,entry_price
2026-02-04,AAPL,BUY,68.4,2,-0.26,False,6.696131118002406,275.97723388671875
2026-02-05,AAPL,BUY,68.6,2,-5.05,False,6.858683974992094,275.3983459472656
2026-03-13,AAPL,VETOED,71.0,2,-0.85,False,,
2026-03-16,AAPL,BUY,69.9,2,-0.53,False,5.706882758444012,252.58729553222656
2026-03-23,AAPL,BUY,71.4,2,-1.93,False,5.150969149553599,251.25851440429688
2026-04-15,AAPL,VETOED,70.5,2,2.53,False,,
2025-11-21,MSFT,BUY,68.7,2,3.1,True,11.368989731580886,470.0268249511719
2026-01-05,MSFT,VETOED,70.1,2,0.92,False,,
2026-01-06,MSFT,VETOED,71.3,2,-1.64,False,,
2026-01-07,MSFT,VETOED,72.0,2,-4.98,False,,
2026-01-14,MSFT,VETOED,70.6,2,-1.79,False,,
2026-01-16,MSFT,BUY,68.5,2,2.27,True,8.201334690060646,457.8211669921875
2026-01-20,MSFT,BUY,69.7,2,5.73,True,8.657157368421805,452.5048828125
2026-03-19,MSFT,VETOED,69.4,2,-5.93,False,,
2026-03-23,MSFT,VETOED,83.2,2,-6.28,False,,
2026-03-24,MSFT,BUY,71.2,2,-0.69,False,7.12884156693184,371.9344177246094
2026-03-25,MSFT,BUY,79.6,2,-0.45,False,7.144522009390402,370.2381286621094
2026-03-26,MSFT,BUY,71.3,2,2.05,True,7.500181770187725,365.1790771484375
2026-03-27,MSFT,BUY,76.6,2,4.52,True,7.696186982954856,355.9989318847656
2026-03-30,MSFT,BUY,70.6,2,3.71,True,7.825190922789468,358.1842041015625
2026-03-31,MSFT,BUY,70.8,2,1.12,True,8.289897649627035,369.3699951171875
2026-01-05,NVDA,VETOED,69.3,2,-1.69,False,,
2026-01-06,NVDA,VETOED,71.7,2,-0.76,False,,
2026-01-07,NVDA,BUY,71.1,2,-3.16,False,5.118293503036573,189.09976196289062
2026-01-08,NVDA,BUY,69.5,2,1.09,True,5.006156149517598,185.0299835205078
2026-01-09,NVDA,BUY,68.8,2,0.74,True,4.824738584435996,184.84999084472656
2026-02-05,NVDA,VETOED,75.5,1,8.76,False,,
2026-03-09,NVDA,BUY,73.4,1,0.32,True,6.207518455443578,182.64010620117188
2026-03-23,NVDA,BUY,77.8,1,-5.96,False,5.374887602974839,175.63999938964844
2026-03-25,NVDA,BUY,78.5,1,-1.64,False,5.19135902535266,178.67999267578125
2026-03-26,NVDA,BUY,73.3,1,3.59,True,5.264241049335199,171.24000549316406
2026-03-27,NVDA,BUY,72.0,1,6.04,True,5.041412675970461,167.52000427246094
2026-03-30,NVDA,BUY,78.1,1,7.83,True,5.095000130789621,165.1699981689453
2026-03-31,NVDA,BUY,76.6,1,4.4,True,5.543571472167969,174.39999389648438
2026-02-03,GOOGL,BUY,68.5,2,-6.22,False,8.489016978474288,339.47100830078125
2026-02-05,GOOGL,BUY,69.6,2,-6.72,False,10.51473683628843,331.0169677734375
2026-02-06,GOOGL,BUY,69.7,2,-5.31,False,10.827372945888243,322.63287353515625
2026-03-09,GOOGL,BUY,72.7,2,-0.26,False,7.957896806378122,306.3599853515625
2026-03-10,GOOGL,BUY,71.7,2,1.26,True,7.944532722803883,307.0400085449219
2026-03-16,GOOGL,BUY,75.3,2,-1.15,False,7.217725591989465,305.55999755859375
2026-03-17,GOOGL,BUY,68.6,2,-6.59,False,7.34079387087486,310.9200134277344
2026-03-19,GOOGL,BUY,71.5,2,-8.53,False,6.762479754882215,307.1300048828125
2026-03-20,GOOGL,VETOED,71.6,2,-8.86,False,,
2026-03-23,GOOGL,VETOED,81.8,2,-9.46,False,,
2026-03-24,GOOGL,VETOED,74.0,2,-0.99,False,,
2026-03-25,GOOGL,VETOED,74.8,2,2.22,False,,
2026-03-26,GOOGL,VETOED,80.2,2,5.29,False,,
2026-03-27,GOOGL,BUY,71.9,2,9.35,True,6.984289986746652,274.3399963378906
2026-03-30,GOOGL,BUY,70.8,2,11.69,True,7.058576311383929,273.5
2026-01-05,AMZN,VETOED,71.0,2,5.75,False,,
2026-01-06,AMZN,VETOED,73.7,2,0.69,False,,
2026-01-07,AMZN,VETOED,72.2,2,-2.03,False,,
2026-01-08,AMZN,VETOED,73.2,2,-3.29,False,,
2026-01-09,AMZN,VETOED,72.3,2,-3.34,False,,
2026-01-12,AMZN,VETOED,75.9,2,-6.28,False,,
2026-01-13,AMZN,BUY,69.7,2,-4.65,False,5.051429748535156,242.60000610351562
2026-03-23,AMZN,VETOED,78.1,2,-4.37,False,,
2026-03-24,AMZN,VETOED,72.5,2,0.5,False,,
2026-03-25,AMZN,VETOED,70.5,2,-0.54,False,,
2026-03-31,AMZN,VETOED,76.5,1,6.23,False,,
2025-11-03,META,BUY,73.2,1,-0.93,False,22.29912377353793,636.645263671875
2026-03-16,META,VETOED,73.9,2,-3.73,False,,
2026-03-17,META,VETOED,77.6,2,-4.78,False,,
2026-03-18,META,VETOED,70.3,2,-3.38,False,,
2026-03-19,META,VETOED,68.5,2,-9.75,False,,
2026-03-25,META,BUY,70.1,2,-2.63,False,16.551147799531357,594.8900146484375
2026-02-06,TSLA,BUY,72.7,1,1.54,True,16.820000784737722,411.1099853515625
2026-02-09,TSLA,BUY,72.1,1,-1.6,False,16.384286063058035,417.32000732421875
2026-02-17,TSLA,BUY,72.3,1,-0.3,False,17.234287806919642,410.6300048828125
2026-02-20,TSLA,BUY,72.4,1,-2.26,False,15.132145472935267,411.82000732421875
2026-03-16,TSLA,BUY,74.0,1,-3.72,False,13.393569946289062,395.55999755859375
2026-03-20,TSLA,BUY,73.1,1,-1.67,False,13.129998343331474,367.9599914550781
2026-03-23,TSLA,BUY,85.4,1,-6.71,False,13.089998517717634,380.8500061035156
2026-03-24,TSLA,BUY,76.5,1,-2.94,False,12.752142769949776,383.0299987792969
2026-03-25,TSLA,BUY,82.5,1,-1.22,False,13.037859235491071,385.95001220703125
2026-03-27,TSLA,BUY,77.9,1,-2.49,False,12.694287981305804,361.8299865722656
2026-03-30,TSLA,BUY,84.8,1,-2.43,False,13.176430838448661,355.2799987792969
2026-03-31,TSLA,BUY,80.9,1,-7.67,False,13.241428920200892,371.75
2025-11-11,JPM,VETOED,70.0,2,-5.14,False,,
2025-11-12,JPM,VETOED,70.3,2,-5.35,False,,
2025-11-13,JPM,BUY,71.5,2,-3.59,False,6.127992478302027,306.5216064453125
2025-11-14,JPM,BUY,70.5,2,-1.84,False,6.422298613201081,300.7076721191406
2025-11-17,JPM,BUY,73.3,2,-0.79,False,6.64231689340761,297.4986572265625
2025-11-18,JPM,BUY,72.3,2,1.2,True,6.691133811031924,296.5478515625
2025-11-19,JPM,BUY,71.7,2,1.44,True,6.526299252212523,300.3709411621094
2025-11-20,JPM,BUY,73.9,2,4.93,True,6.960679308301252,295.5277099609375
2025-11-21,JPM,BUY,87.4,2,3.66,True,7.1559361608835195,295.171142578125
2025-11-24,JPM,BUY,74.1,2,3.32,True,7.0278865002390125,295.1513366699219
2025-11-25,JPM,BUY,72.7,2,3.01,True,7.131882805858863,300.103515625
2025-11-26,JPM,BUY,72.8,2,2.75,True,7.199093078102749,304.6991882324219
2025-11-28,JPM,BUY,70.6,2,0.63,True,7.148864222229382,310.087158203125
2025-12-11,JPM,VETOED,68.2,2,-1.38,False,,
2026-01-06,JPM,VETOED,76.7,2,-7.09,False,,
2026-01-09,JPM,BUY,69.5,2,-5.08,False,5.420642392128733,327.5138854980469
2026-02-25,JPM,VETOED,72.5,2,-1.29,False,,
2026-02-26,JPM,VETOED,71.6,2,-4.11,False,,
2026-02-27,JPM,VETOED,75.0,2,-3.6,False,,
2026-03-02,JPM,VETOED,72.5,2,-2.57,False,,
2026-03-05,JPM,BUY,68.2,2,-3.63,False,7.839878833004653,292.0553283691406
2026-03-09,JPM,BUY,72.4,2,-1.3,False,8.335910482767352,288.44384765625
2026-03-11,JPM,BUY,69.5,2,0.08,True,8.476621243048527,286.0560302734375
2026-04-14,JNJ,VETOED,70.3,2,-5.81,False,,
2026-04-17,JNJ,VETOED,73.5,2,-2.85,False,,
2026-04-20,JNJ,VETOED,70.0,2,-2.32,False,,
2025-10-31,XOM,BUY,71.4,2,2.5,True,1.8360836532811788,111.85853576660156
2025-11-03,XOM,BUY,71.8,2,3.92,True,1.773203994466101,111.27166748046875
2025-11-04,XOM,BUY,70.6,2,4.94,True,1.7201055696527245,111.64335632324219
2025-11-05,XOM,BUY,70.4,2,3.91,True,1.699844312894605,111.19341278076172
2025-11-06,XOM,BUY,71.2,2,3.75,True,1.632074467935705,111.99547576904297
2026-01-02,XOM,VETOED,68.4,2,1.6,False,,
2026-01-08,XOM,VETOED,69.9,2,5.06,False,,
2026-05-08,XOM,BUY,76.3,1,9.98,True,3.83894113017704,143.59535217285156
2026-05-13,XOM,VETOED,72.5,1,3.81,False,,
2026-05-14,XOM,VETOED,73.3,1,2.33,False,,
