iter	MultiClass
0	1.065988482
1	1.040531755
2	1.013502772
3	0.9904413061
4	0.9669780159
5	0.9474713305
6	0.9301758572
7	0.913961462
8	0.8986866001
9	0.8844688387
10	0.8692312127
11	0.8569524418
12	0.8431870618
13	0.8324413469
14	0.8230682752
15	0.8086562603
16	0.7980017585
17	0.7847827392
18	0.7751724591
19	0.7677798796
20	0.7591995994
21	0.7505229359
22	0.7416893647
23	0.7340944738
24	0.725227453
25	0.7171132271
26	0.7092267206
27	0.7022387373
28	0.6945021407
29	0.6874857006
30	0.6801658388
31	0.674056714
32	0.6671083134
33	0.6596586688
34	0.6522779758
35	0.6446493977
36	0.6336573056
37	0.6264462217
38	0.6197458309
39	0.6117937221
40	0.6035124474
41	0.5933199897
42	0.5837311764
43	0.5725297556
44	0.5595728195
45	0.5488014451
46	0.5423546915
47	0.5324920627
48	0.5254158661
49	0.5125983664
50	0.5059449711
51	0.4990932421
52	0.4913057666
53	0.4763912419
54	0.4666159211
55	0.4594698923
56	0.4549880711
57	0.4479911021
58	0.4423178596
59	0.4354617464
60	0.4307440636
61	0.422312037
62	0.411525576
63	0.4008013806
64	0.3921276738
65	0.3820743839
66	0.3768631315
67	0.3704692994
68	0.3636755789
69	0.3569947049
70	0.3499326675
71	0.3461515059
72	0.3410661003
73	0.3337762469
74	0.3307564378
75	0.3228215478
76	0.3190330578
77	0.3150356127
78	0.3117404619
79	0.3083273755
80	0.3056031075
81	0.3009777227
82	0.2958883889
83	0.2927523436
84	0.2894379712
85	0.2834265492
86	0.278896093
87	0.2771190668
88	0.2730125234
89	0.2679236921
90	0.2645678628
91	0.2602109601
92	0.2576511201
93	0.2539800434
94	0.2511315787
95	0.2474354091
96	0.2427879153
97	0.2404181095
98	0.2370621668
99	0.233309114
100	0.2314460465
101	0.2287455535
102	0.2255728772
103	0.2226627127
104	0.2204608149
105	0.2172984704
106	0.2163551826
107	0.2140241925
108	0.2118844279
109	0.2092655508
110	0.2065512267
111	0.2050031539
112	0.2018815105
113	0.2006047508
114	0.1979228846
115	0.1959840826
116	0.1931522031
117	0.1918961923
118	0.1899935914
119	0.1877951327
120	0.1866393923
121	0.1855745062
122	0.1828254694
123	0.1812960039
124	0.1793277354
125	0.1776965059
126	0.1754695216
127	0.1743910136
128	0.1719949609
129	0.1701214727
130	0.1681524243
131	0.1667247984
132	0.1642787471
133	0.1623342164
134	0.1603618976
135	0.1592353657
136	0.157998912
137	0.1564399941
138	0.1553428523
139	0.153366699
140	0.151685482
141	0.1499188572
142	0.1489298403
143	0.1478212986
144	0.1468532198
145	0.1455683905
146	0.1440990439
147	0.1431254732
148	0.1416716417
149	0.1406048179
150	0.1400948774
151	0.1389894113
152	0.1375393325
153	0.1360770828
154	0.1353415694
155	0.134223356
156	0.133265678
157	0.131767147
158	0.1307789495
159	0.1295338835
160	0.1285890459
161	0.1275117892
162	0.1271412848
163	0.1261311897
164	0.125028736
165	0.123924158
166	0.1230368157
167	0.1219722485
168	0.121313871
169	0.1200150486
170	0.1190803887
171	0.1178967892
172	0.1169380574
173	0.1157763665
174	0.1144357768
175	0.1132352176
176	0.1120968955
177	0.1115416567
178	0.1108250409
179	0.1098351719
180	0.1088909399
181	0.1082800668
182	0.1077447125
183	0.1070132328
184	0.1062580267
185	0.1055707707
186	0.1050297466
187	0.104568828
188	0.1034113644
189	0.1028930578
190	0.1018026077
191	0.1010186814
192	0.1003312189
193	0.09951653171
194	0.09887929757
195	0.09837108763
196	0.09797205093
197	0.09713504568
198	0.09619181134
199	0.09560799547
200	0.09478112463
201	0.09415720234
202	0.09359500412
203	0.09297562906
204	0.09236762761
205	0.09201862082
206	0.09171196549
207	0.09150029728
208	0.09107838437
209	0.09070473236
210	0.09024967701
211	0.0895187797
212	0.0886276041
213	0.08807055706
214	0.08738283797
215	0.08690772372
216	0.0864665532
217	0.08597254158
218	0.08548194305
219	0.08489645561
220	0.08438584245
221	0.08365908574
222	0.08320477836
223	0.08286533403
224	0.08258618743
225	0.08221444053
226	0.08166454985
227	0.08140304003
228	0.08078912617
229	0.08029330663
230	0.07966330783
231	0.07921750302
232	0.07881626165
233	0.07827847222
234	0.07777796895
235	0.07752503706
236	0.07720241015
237	0.07663299262
238	0.07627113799
239	0.07577433797
240	0.07530897289
241	0.0746608413
242	0.07434677516
243	0.07392595109
244	0.07339676311
245	0.07301758909
246	0.07265988235
247	0.07233174838
248	0.07186585422
249	0.07174510969
250	0.07155219755
251	0.07111426073
252	0.07071192816
253	0.070436669
254	0.07013772361
255	0.06964133842
256	0.06944821943
257	0.06914686699
258	0.0689156353
259	0.06869126256
260	0.06831177986
261	0.06805218874
262	0.06776340539
263	0.06742512056
264	0.06724920996
265	0.06699647941
266	0.06656708581
267	0.06635450066
268	0.06610853314
269	0.06577789444
270	0.06550477572
271	0.06504493777
272	0.06475746324
273	0.06439570293
274	0.06418531156
275	0.06388861553
276	0.06347163675
277	0.06340366504
278	0.06300860436
279	0.06261487444
280	0.06232638036
281	0.0619192673
282	0.06152476611
283	0.06135261077
284	0.06108966629
285	0.06069266907
286	0.06047861309
287	0.06019860809
288	0.05991690613
289	0.05954934051
290	0.05928359558
291	0.0590962233
292	0.0587661882
293	0.05862759797
294	0.05845627408
295	0.05823994832
296	0.05797238299
297	0.05779604383
298	0.05743972604
299	0.05711533233
300	0.05676757728
301	0.05648306669
302	0.05620070011
303	0.05591289019
304	0.05562927968
305	0.05548771248
306	0.05527458011
307	0.05503082232
308	0.05485150785
309	0.05452124821
310	0.05427690369
311	0.05412700318
312	0.05390198475
313	0.05371643957
314	0.05345951102
315	0.0532931716
316	0.05302927223
317	0.05276458866
318	0.05252007637
319	0.05231062383
320	0.05205688433
321	0.05187358089
322	0.05167254584
323	0.0513779229
324	0.05112482028
325	0.05091957141
326	0.05069830437
327	0.05050050926
328	0.0503505359
329	0.05015270074
330	0.04998701739
331	0.04987574065
332	0.04966516075
333	0.04952057756
334	0.04938162866
335	0.04916840496
336	0.04905113959
337	0.0488291202
338	0.04861606453
339	0.04848315341
340	0.0483150517
341	0.04814083501
342	0.04800974654
343	0.04790392796
344	0.04767304139
345	0.04749494253
346	0.04731865763
347	0.04706551486
348	0.04685009195
349	0.04669101864
350	0.04652698283
351	0.04629246471
352	0.04608922107
353	0.04598221005
354	0.04577841252
355	0.04564150703
356	0.04543464718
357	0.04531144775
358	0.04517252319
359	0.04497095385
360	0.04483949517
361	0.04464468588
362	0.04449936361
363	0.04435031057
364	0.04425322899
365	0.04402131825
366	0.04386007807
367	0.0436331736
368	0.04343910699
369	0.04331127346
370	0.04316912042
371	0.04293342167
372	0.04276991022
373	0.04250539809
374	0.0423679146
375	0.04226478223
376	0.04206995513
377	0.04189208545
378	0.04180339386
379	0.041653689
380	0.04143956893
381	0.04128452111
382	0.0411103176
383	0.0410126687
384	0.04091063339
385	0.04076208585
386	0.04061385328
387	0.04044947616
388	0.04031414188
389	0.04016643096
390	0.04001886865
391	0.03990082069
392	0.03974032184
393	0.03964772945
394	0.03948215438
395	0.03933339772
396	0.03924963423
397	0.03911410209
398	0.03892120878
399	0.03881313278
400	0.03871998572
401	0.03863684993
402	0.03853662791
403	0.03843777748
404	0.03831287924
405	0.03818513007
406	0.03806059608
407	0.03800876394
408	0.03788430814
409	0.03768443041
410	0.03761760825
411	0.03749876125
412	0.03732416938
413	0.03718187863
414	0.03709986404
415	0.03700325022
416	0.03682675188
417	0.03675299309
418	0.03661577692
419	0.03650878564
420	0.03639421653
421	0.03629864129
422	0.03616028309
423	0.0360611628
424	0.03590702721
425	0.03579594876
426	0.03567171993
427	0.03555664665
428	0.03545546235
429	0.03531265414
430	0.03519601124
431	0.03509290188
432	0.03499337281
433	0.03490379564
434	0.03478957101
435	0.03469290229
436	0.03458631892
437	0.03449000109
438	0.0343758735
439	0.03423595676
