iter	Passed	Remaining
0	15	9164
1	32	9652
2	46	9265
3	58	8646
4	73	8794
5	86	8546
6	99	8464
7	113	8374
8	127	8394
9	139	8243
10	155	8338
11	171	8386
12	189	8550
13	202	8473
14	218	8519
15	236	8643
16	254	8710
17	276	8925
18	294	9004
19	309	8979
20	327	9027
21	344	9042
22	365	9157
23	384	9237
24	402	9247
25	425	9386
26	445	9456
27	464	9488
28	486	9581
29	501	9522
30	523	9603
31	541	9604
32	574	9865
33	609	10140
34	624	10076
35	647	10140
36	674	10267
37	692	10241
38	710	10222
39	733	10269
40	761	10384
41	784	10417
42	805	10440
43	830	10495
44	856	10566
45	885	10662
46	908	10693
47	927	10667
48	955	10743
49	977	10756
50	1000	10770
51	1020	10751
52	1038	10722
53	1062	10744
54	1080	10703
55	1101	10697
56	1116	10637
57	1136	10619
58	1162	10658
59	1177	10593
60	1197	10577
61	1219	10581
62	1236	10536
63	1259	10544
64	1288	10603
65	1324	10716
66	1354	10779
67	1375	10760
68	1402	10790
69	1437	10887
70	1461	10889
71	1476	10829
72	1492	10777
73	1524	10833
74	1550	10852
75	1574	10854
76	1598	10859
77	1621	10849
78	1647	10863
79	1666	10834
80	1682	10780
81	1708	10795
82	1735	10811
83	1751	10758
84	1774	10751
85	1809	10816
86	1835	10821
87	1851	10770
88	1876	10772
89	1911	10831
90	1935	10826
91	1972	10891
92	1997	10888
93	2034	10952
94	2062	10963
95	2079	10918
96	2110	10946
97	2131	10917
98	2167	10966
99	2202	11011
100	2233	11032
101	2258	11026
102	2276	10983
103	2306	11000
104	2324	10958
105	2362	11011
106	2377	10955
107	2400	10936
108	2421	10907
109	2445	10892
110	2469	10879
111	2500	10893
112	2534	10923
113	2554	10892
114	2582	10891
115	2608	10884
116	2641	10905
117	2657	10854
118	2678	10826
119	2699	10796
120	2717	10756
121	2741	10742
122	2774	10757
123	2806	10774
124	2837	10783
125	2865	10778
126	2892	10772
127	2911	10735
128	2942	10743
129	2968	10730
130	2992	10711
131	3015	10691
132	3060	10746
133	3080	10713
134	3111	10715
135	3142	10721
136	3165	10698
137	3191	10684
138	3216	10668
139	3245	10665
140	3265	10631
141	3299	10643
142	3329	10641
143	3353	10619
144	3374	10590
145	3408	10598
146	3441	10606
147	3472	10604
148	3499	10591
149	3519	10558
150	3537	10519
151	3562	10498
152	3587	10481
153	3611	10459
154	3631	10427
155	3660	10419
156	3694	10424
157	3725	10422
158	3746	10390
159	3773	10377
160	3789	10333
161	3815	10316
162	3836	10284
163	3868	10284
164	3905	10297
165	3934	10286
166	3959	10266
167	3991	10262
168	4015	10240
169	4048	10240
170	4079	10234
171	4098	10199
172	4125	10181
173	4158	10180
174	4193	10183
175	4227	10185
176	4258	10177
177	4280	10147
178	4304	10125
179	4338	10123
180	4365	10104
181	4387	10075
182	4407	10043
183	4440	10039
184	4463	10012
185	4493	10001
186	4516	9975
187	4534	9936
188	4562	9921
189	4586	9898
190	4619	9891
191	4650	9881
192	4668	9845
193	4684	9804
194	4707	9776
195	4723	9735
196	4738	9693
197	4772	9689
198	4806	9684
199	4833	9666
200	4859	9646
201	4889	9633
202	4912	9606
203	4926	9562
204	4956	9550
205	4973	9513
206	4989	9473
207	5010	9442
208	5035	9419
209	5060	9397
210	5086	9376
211	5115	9361
212	5141	9341
213	5171	9327
214	5190	9295
215	5220	9281
216	5249	9264
217	5277	9248
218	5302	9224
219	5335	9215
220	5370	9209
221	5393	9184
222	5423	9169
223	5440	9132
224	5457	9095
225	5471	9055
226	5497	9033
227	5524	9013
228	5549	8991
229	5566	8955
230	5601	8948
231	5625	8922
232	5643	8889
233	5667	8863
234	5693	8842
235	5715	8815
236	5738	8789
237	5760	8761
238	5798	8757
239	5823	8735
240	5845	8707
241	5875	8692
242	5895	8661
243	5924	8644
244	5950	8622
245	5966	8585
246	5987	8557
247	6004	8523
248	6040	8514
249	6059	8483
250	6080	8454
251	6118	8448
252	6148	8432
253	6169	8404
254	6196	8383
255	6229	8371
256	6261	8356
257	6287	8334
258	6306	8303
259	6326	8273
260	6355	8254
261	6372	8221
262	6398	8199
263	6424	8177
264	6443	8145
265	6468	8122
266	6499	8106
267	6518	8074
268	6541	8049
269	6575	8036
270	6597	8009
271	6625	7989
272	6648	7963
273	6667	7933
274	6691	7907
275	6720	7888
276	6751	7872
277	6763	7833
278	6799	7823
279	6826	7802
280	6862	7790
281	6890	7770
282	6921	7753
283	6946	7728
284	6966	7699
285	7001	7686
286	7019	7655
287	7043	7630
288	7063	7600
289	7090	7579
290	7109	7549
291	7137	7528
292	7170	7513
293	7192	7486
294	7221	7465
295	7255	7451
296	7285	7432
297	7305	7403
298	7331	7380
299	7359	7359
300	7390	7341
301	7424	7325
302	7464	7316
303	7485	7288
304	7507	7261
305	7543	7247
306	7573	7227
307	7607	7212
308	7635	7190
309	7666	7171
310	7691	7147
311	7711	7118
312	7740	7097
313	7756	7064
314	7792	7050
315	7812	7021
316	7839	6998
317	7870	6979
318	7899	6958
319	7929	6938
320	7965	6923
321	7982	6891
322	8009	6869
323	8037	6846
324	8075	6833
325	8093	6802
326	8120	6779
327	8148	6756
328	8165	6726
329	8204	6712
330	8224	6683
331	8253	6662
332	8285	6643
333	8314	6621
334	8332	6591
335	8355	6565
336	8377	6538
337	8402	6513
338	8435	6494
339	8450	6462
340	8476	6438
341	8499	6412
342	8520	6384
343	8542	6357
344	8578	6340
345	8601	6314
346	8628	6291
347	8647	6262
348	8669	6234
349	8692	6208
350	8725	6189
351	8749	6164
352	8774	6139
353	8794	6111
354	8815	6083
355	8846	6063
356	8875	6041
357	8896	6014
358	8926	5992
359	8952	5968
360	8978	5943
361	9012	5925
362	9037	5900
363	9056	5871
364	9077	5844
365	9111	5825
366	9135	5800
367	9162	5776
368	9190	5753
369	9223	5733
370	9244	5706
371	9278	5686
372	9298	5658
373	9327	5636
374	9367	5620
375	9389	5593
376	9424	5574
377	9451	5550
378	9473	5524
379	9507	5504
380	9545	5486
381	9573	5463
382	9599	5438
383	9625	5414
384	9651	5390
385	9684	5368
386	9705	5341
387	9732	5317
388	9760	5294
389	9794	5273
390	9821	5249
391	9851	5227
392	9880	5203
393	9898	5175
394	9933	5155
395	9949	5125
396	9973	5099
397	10003	5077
398	10024	5049
399	10048	5024
400	10069	4997
401	10085	4967
402	10106	4940
403	10126	4913
404	10148	4886
405	10181	4865
406	10220	4846
407	10240	4819
408	10265	4793
409	10299	4772
410	10314	4743
411	10333	4715
412	10361	4691
413	10398	4671
414	10427	4648
415	10456	4625
416	10493	4604
417	10523	4581
418	10559	4561
419	10584	4536
420	10614	4512
421	10637	4486
422	10673	4466
423	10705	4443
424	10731	4418
425	10767	4397
426	10783	4368
427	10807	4343
428	10822	4314
429	10856	4292
430	10884	4268
431	10905	4241
432	10933	4216
433	10957	4191
434	10981	4165
435	11006	4139
436	11026	4112
437	11049	4086
438	11082	4064
439	11102	4037
440	11137	4015
441	11166	3991
442	11195	3967
443	11223	3943
444	11246	3917
445	11273	3892
446	11293	3865
447	11316	3839
448	11339	3813
449	11359	3786
450	11382	3760
451	11402	3733
452	11418	3705
453	11445	3680
454	11474	3656
455	11506	3633
456	11536	3609
457	11558	3583
458	11576	3556
459	11607	3532
